auction_id,item_id,item_name,price,bids,seller_id,buyer_id,timestamp,fetched_at
4149,74,Santa Hat '04,1400000001,16,1346991,1430520,1396209294,1773546983
4030,74,Santa Hat '04,1337647515,24,1346991,317970,1392385390,1773546983
112788,75,Christmas Cracker '04,1100111112,25,1346991,244075,1541701992,1773546984
107458,75,Christmas Cracker '04,2555555556,15,1883275,193284,1534656583,1773546984
2957,75,Christmas Cracker '04,1150000001,30,108922,860628,1380803190,1773546984
205954,115,Poker Doll,2000000001,22,15,2093595,1657561742,1773546987
144625,115,Poker Doll,1500000001,16,2179131,107444,1576445672,1773546987
143570,115,Poker Doll,1148277088,15,2179131,107444,1575233251,1773546987
437091,117,Trojan Horse,2500000001,18,3054822,965826,1757229613,1773546988
109982,117,Trojan Horse,1900000001,17,671607,220873,1537714324,1773546988
54358,117,Trojan Horse,1980000001,14,1676439,1307523,1456630103,1773546988
384949,118,Magician's Hat,956000001,11,282802,3646492,1743604278,1773546989
186665,118,Magician's Hat,2000000001,17,2100412,1969864,1631218433,1773546989
152088,118,Magician's Hat,900000001,25,2280676,1995775,1585870494,1773546989
149937,118,Magician's Hat,1650000001,16,2197102,745878,1583064823,1773546989
138597,118,Magician's Hat,1000000001,19,107444,2013744,1571191345,1773546989
136823,118,Magician's Hat,1000000001,15,107444,2280676,1568815529,1773546989
60588,118,Magician's Hat,1750001001,10,1676439,1523473,1465938846,1773546989
38454,118,Magician's Hat,1500000001,11,74099,952164,1437944487,1773546989
2161,122,Mouser Doll,2000000001,4,879863,1446721,1369451562,1773546993
1485,122,Mouser Doll,1500000001,20,40916,453406,1365525837,1773546993
1338,122,Mouser Doll,1200000001,17,541636,40916,1364139378,1773546993
439848,123,Elite Action Man,1900000000,11,3054822,1145056,1758026915,1773546993
60693,123,Elite Action Man,1550000001,21,239,1352251,1468523233,1773546993
57623,123,Elite Action Man,1700000001,15,1732212,1352251,1462260991,1773546993
211330,124,Toy Reactor,2000000001,8,107444,520898,1663893261,1773546994
166183,124,Toy Reactor,2104645801,28,4,730674,1609459200,1773546994
144054,124,Toy Reactor,1800000001,14,2179131,11229,1575754084,1773546994
268477,126,Blue Dragon,1750000001,14,641864,2802242,1700807448,1773546996
141079,126,Blue Dragon,2000000001,15,107444,1609046,1573994714,1773546996
60377,126,Blue Dragon,2350000001,18,1300313,1641178,1467101268,1773546996
445852,128,Mufasa Toy,1600000001,12,577807,78601,1760167068,1773546997
44769,128,Mufasa Toy,2100000001,16,1748280,15699,1444904516,1773546997
161164,131,Lego Hurin,1750000001,17,906258,1510489,1600002230,1773546999
2346,132,Mystical Sphere,1900000001,15,937851,78601,1372318850,1773547000
1911,132,Mystical Sphere,2070000001,9,108922,1338725,1367840415,1773547000
202783,133,Silver Eye,1200000001,12,1687536,132845,1652558462,1773547001
180408,133,Silver Eye,1401684943,17,1066247,730674,1624824621,1773547001
179818,133,Silver Eye,1799000001,12,422375,1066247,1623589386,1773547001
119939,133,Silver Eye,1980198011,16,2013744,1989354,1550842022,1773547001
44768,133,Silver Eye,2000000001,18,1748280,15699,1444904511,1773547001
22827,133,Silver Eye,1559000001,12,1583290,1748280,1421184985,1773547001
175010,134,Skateboard,3357000001,12,4,1496632,1619393045,1773547001
431976,135,Uriel's Speakers,1499660781,13,2802242,2332327,1755946690,1773547002
430271,135,Uriel's Speakers,1500308121,18,2802242,2332327,1755554863,1773547002
428239,135,Uriel's Speakers,1507269817,4,2332327,2802242,1755032459,1773547002
156975,135,Uriel's Speakers,1700000001,11,1271316,453406,1591052415,1773547002
186666,136,Strife Clown,2000000001,20,2100412,1969864,1631218439,1773547003
175979,136,Strife Clown,1550000001,17,1609046,1534025,1620577131,1773547003
185508,138,Riddle's Bat,1800314157,14,424017,424299,1630898889,1773547005
166205,138,Riddle's Bat,1500000001,17,1761,2588964,1609419758,1773547005
119156,138,Riddle's Bat,1979000001,16,2013744,1481118,1550013666,1773547005
4048,138,Riddle's Bat,1500000001,19,68062,1676439,1392724971,1773547005
643,138,Riddle's Bat,1685001001,10,1365950,78601,1359954657,1773547005
475895,140,Troll Doll,1444444445,17,1145056,1285682,1768668365,1773547006
439400,140,Troll Doll,1750000001,8,3054822,1145056,1757893806,1773547006
140311,140,Troll Doll,900000023,21,107444,2040506,1572928577,1773547006
69294,140,Troll Doll,1750000001,15,1983507,1726603,1480888962,1773547006
53066,141,Snow Globe,1780208059,11,1676439,979003,1454522333,1773547007
1405,142,Paper Crane,780000001,13,108922,351251,1365254762,1773547008
205955,143,Vanity Mirror,1272726278,18,15,827175,1657561747,1773547009
53086,143,Vanity Mirror,1700000001,15,278192,1621675,1455194631,1773547009
144357,144,Banana Phone,1700000001,21,2179131,11229,1575839872,1773547009
4075,144,Banana Phone,1900000001,10,1488157,273777,1391132392,1773547009
136363,148,Dance Toy,1900000001,17,1271316,2013744,1568474902,1773547010
120798,148,Dance Toy,1800000001,15,2013744,1615339,1551479806,1773547010
119155,148,Dance Toy,1988000001,14,2013744,1846075,1549840849,1773547010
359406,149,Lucky Dime,1500000001,31,1583290,730674,1734545942,1773547011
353219,149,Lucky Dime,1653938678,14,1583290,1969110,1732138986,1773547011
323054,149,Lucky Dime,2000000001,25,1583290,1372430,1722451320,1773547011
177375,149,Lucky Dime,1711000001,17,1867016,1723628,1621190823,1773547011
641,149,Lucky Dime,1700000001,10,1365950,78601,1359781823,1773547011
52171,150,Crystal Carousel,2500000001,8,1621675,730674,1453784669,1773547012
445152,153,Case of Whiskey,2500000000,23,78601,965826,1760047580,1773547014
154123,153,Case of Whiskey,3000000001,24,132845,1346991,1588626100,1773547014
4027,153,Case of Whiskey,2200000001,16,130997,132845,1390473917,1773547014
1308,155,Purple Frog,3000000001,23,1371383,730674,1363311158,1773547015
159518,158,Statue Of Aeolus,1250000001,18,2153605,1510489,1596138754,1773547018
146030,158,Statue Of Aeolus,1104604062,17,2179131,107444,1578149555,1773547018
145130,158,Statue Of Aeolus,500000001,12,2179131,107444,1576956769,1773547018
136361,158,Statue Of Aeolus,1000000001,5,1271316,2013744,1568388481,1773547018
119942,158,Statue Of Aeolus,1980198011,17,2013744,1615339,1550669545,1773547018
4128,158,Statue Of Aeolus,1700000001,17,1774270,132845,1393206838,1773547018
174332,161,Black Unicorn,2850000001,14,2165616,2013744,1618343191,1773547018
193597,162,Teddy Bear '05,1400000001,16,4,1271316,1641081599,1773547019
78118,162,Teddy Bear '05,2495500001,17,1825532,453406,1495960494,1773547019
2294,162,Teddy Bear '05,1900000001,18,108922,535425,1371730686,1773547019
959,162,Teddy Bear '05,1510000001,18,205610,730674,1360789438,1773547019
229189,163,Chocolate Egg '05,1900000001,21,15699,730674,1678911976,1773547020
176964,163,Chocolate Egg '05,1409116602,12,1850991,15699,1620868767,1773547020
447742,165,Chocobo Flute,1600000001,17,3054822,2093595,1760620750,1773547022
439846,165,Chocobo Flute,1550000001,10,3054822,2008252,1758026910,1773547022
437738,165,Chocobo Flute,1690707601,11,3054822,3531515,1757385358,1773547022
197714,165,Chocobo Flute,1177000001,17,1534025,2666499,1645719317,1773547022
179746,165,Chocobo Flute,3538901252,17,70516,1534025,1624101719,1773547022
171734,165,Chocobo Flute,1700000001,22,1443076,70516,1616105447,1773547022
424415,166,Annoying Man,1988000001,12,2332327,2093595,1754082483,1773547022
158882,166,Annoying Man,1777000001,14,2050558,1510489,1594217541,1773547022
119940,166,Annoying Man,1980198012,20,2013744,1615339,1551014844,1773547022
4095,166,Annoying Man,1800000001,18,779368,943259,1392140300,1773547022
2241,166,Annoying Man,1855000001,17,108922,1433979,1371103315,1773547022
2206,166,Annoying Man,704230882,9,108922,590563,1370003881,1773547022
214424,167,Devil Doll,20000004,6,2445328,2359138,1668183867,1773547024
214145,167,Devil Doll,6701806,14,1757352,2445328,1667834936,1773547024
213574,167,Devil Doll,24000001,14,1757352,2206847,1667479323,1773547024
212135,167,Devil Doll,20000001,14,2686275,2656557,1665961711,1773547024
206945,167,Devil Doll,8100001,13,2495856,2160863,1658587955,1773547024
206293,167,Devil Doll,25000001,8,1319875,2275570,1657822965,1773547024
202336,167,Devil Doll,15350001,10,2751978,2039546,1652144414,1773547024
200135,167,Devil Doll,12355365,17,2317425,2747385,1651406222,1773547024
200938,167,Devil Doll,30000000,11,421345,2722594,1650616147,1773547024
199079,167,Devil Doll,23150001,9,2711574,2686275,1647622022,1773547024
195853,167,Devil Doll,22150001,14,1883498,2665873,1644119797,1773547024
195888,167,Devil Doll,24000001,11,2576021,2529142,1643304459,1773547024
189141,167,Devil Doll,27000001,10,50716,2137380,1635199563,1773547024
187237,167,Devil Doll,13181057,10,2514502,2529142,1632419148,1773547024
180304,167,Devil Doll,20000001,11,2538487,2623578,1625157271,1773547024
179209,167,Devil Doll,21100001,8,2538487,2620709,1623342061,1773547024
176619,167,Devil Doll,11111112,11,2631581,2607022,1621189998,1773547024
176869,167,Devil Doll,25000112,9,2455549,2317115,1620973036,1773547024
176307,167,Devil Doll,36511503,24,509763,2631581,1619978309,1773547024
170345,167,Devil Doll,12700001,8,2630667,2612583,1613743995,1773547024
164286,167,Devil Doll,20000002,4,2555429,2152185,1605939782,1773547024
161787,167,Devil Doll,24000001,7,2203628,1658704,1601273232,1773547024
161476,167,Devil Doll,35000001,9,2532689,2366818,1600303557,1773547024
161335,167,Devil Doll,25000001,6,2555429,2532689,1599784804,1773547024
160257,167,Devil Doll,50000001,23,1019014,2203628,1597548421,1773547024
159261,167,Devil Doll,41000001,14,2555429,2555529,1594806803,1773547024
157859,167,Devil Doll,36000001,8,794548,1883498,1592180166,1773547024
156870,167,Devil Doll,40000001,20,2143655,2374710,1590858545,1773547024
156556,167,Devil Doll,20000001,10,72095,2467193,1589571197,1773547024
155625,167,Devil Doll,30000001,9,767287,2058261,1589287699,1773547024
155821,167,Devil Doll,10000001,9,767287,2535712,1588510321,1773547024
153586,167,Devil Doll,40000001,10,767287,2420384,1586692827,1773547024
150251,167,Devil Doll,22500101,10,173523,1658704,1582801199,1773547024
145217,167,Devil Doll,30000001,7,566754,2077347,1577590677,1773547024
144632,167,Devil Doll,20000002,11,1570746,1658704,1576710200,1773547024
143863,167,Devil Doll,13450001,16,2370892,2282389,1575542787,1773547024
143253,167,Devil Doll,12000001,12,1971021,2370892,1574795741,1773547024
139320,167,Devil Doll,41000001,4,2327807,2349709,1571253014,1773547024
138088,167,Devil Doll,24999896,8,2320016,1658704,1570096600,1773547024
136812,167,Devil Doll,20000046,10,560392,1658704,1568976512,1773547024
134869,167,Devil Doll,25000001,15,1806953,1948481,1567511557,1773547024
